Titolo,URL progetto,Sito funzionante,Sito non trovato,Sito non funzionante,Sito non reinderizzato,Sito parzialmente Inacessibile,Sito dopo migrazione,URL sito vetrina ,URL sito vetrina risolve?,URL Anticamera ,URL Anticamera risolve?,Provenance,KNOT URI,NOTE
Manoscritti Italiani Volgari del 17° secolo,https://miv17.labdilef.it/,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/miv17-project,
Lodovico Media Library,https://lodovico.medialibrary.it/home/index.aspx,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/lodovico-project,
Linking Latin,https://lila-erc.eu/LiLaLisp/,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,https://lila-erc.eu/#about-1,TRUE,AIUCD,,
Lineamenta,https://fm.biblhertz.it/fmi/xsl/home.xsl?-token.proj=li,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,
"Linea: per un portale della letteratura italiana del
Novecento",https://linea.unict.it,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,
Libretti d'opera,https://www.librettodopera.it/public/,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/libretti-opera-project,
Library Data Integration: the CoBiS Linked Open Data Project and Portal ,https://dati.cobis.to.it/,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,IRCDL,,
LIBERaBIT,https://www.liberabit.unisa.it/,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/liberabit-project,
leggo manzoni,https://projects.dharc.unibo.it/leggomanzoni/,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,
Le parole dell'arte. Accademia della crusca,https://mla.accademiadellacrusca.org/,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,
Le Lettere di Alessandra Macinghi Strozzi,https://macinghi-strozzi.labdilef.it/,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/macinghi-strozzi-project,
"Last Letters from the World Wars: Forming Italian Language, Identity and Memory in Texts of Conflict",https://www.ultimelettere.it/LastLetters/,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,
L'Area Cimiteriale di San Matteo,https://sepolturesanmatteo.labcd.unipi.it/,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/cimi-san-matteo-project,
"Italian Natural Language Processing Lab",http://www.italianlp.it/demo/linguistic-annotation-tool/,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/lingua-project,
"IntraText dLib: digital library framework system based on distributed collaboration, e-mail interaction and easy to use text-to-xml facilities for editorial accuracy ",https://www.intratext.com/ ,TRUE,FALSE,FALSE,FALSE,TRUE,,,FALSE,,FALSE,IRCDL,,
Index Thomisticus Treebank,https://itreebank.marginalia.it/,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,la funzione multilingua non funziona sempre
In Codice Ratio: Machine Transcription of Medieval Manuscripts,https://www.inf.uniroma3.it/db/icr/,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,IRCDL,,
Illuminated Dante Project (IDP),https://www.dante.unina.it/ndp/public/frontend,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,AIUCD,,traslocato a https://www.unive.it/pag/44465/
Illuminated Dante Project,https://www.dante.unina.it/idp/public/frontend,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,error 404
Idilli di Giacomo Leopardi,https://leopardi.ecdosys.org/en/Home/,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/idili-leopardi-project,
I Tatti Digital Collection,https://collection.itatti.harvard.edu/,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,protocollo https non implementato + file not found
I conti con la Storia: Le leggi razziali tra televisione e storiografia,http://www.iconticonlastoria.it,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,DH Awards,,
Hyperpavese,https://www.hyperpavese.com/progetto.php,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,AIUCD,,sparql endpoint non accessibile
https://zuccaro.biblhertz.it/,https://zuccaro.biblhertz.it/,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,è un sito vetrina (https://vision.artresearch.net/resource/start)
Hertziana Rare Books Online,https://dlib.biblhertz.it/,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,pagina non trovata
Heinrich Wölfflin,https://editions.humanitiesconnect.pub/exist/apps/hwgw/index.html,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,
Greek Schools,https://viewer.greekschools.eu/,TRUE,FALSE,FALSE,FALSE,FALSE,,https://www.ilc.cnr.it/progetti/greekschools-2/,TRUE,,FALSE,Italian DH Institutions,,
Greek into Arabic,http://www.greekintoarabic.eu/index0b30.html,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/g2a-project,
gigapixel images,https://virtualphotothek.khi.fi.it/gigapixel/,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,
Gesture Atlas,https://biblhertz.github.io/atlas/,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,error 404
Galleria Borghese,https://galleriaborghese.beniculturali.it/,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,
FRED - Machine Reading for the Semantic Web,http://wit.istc.cnr.it/stlab-tools/fred/,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/fred-project,
framester,https://framester.github.io/,TRUE,FALSE,FALSE,FALSE,FALSE,,http://etna.istc.cnr.it/framester_web/,TRUE,,FALSE,Italian DH Institutions,,
Foto,https://foto.biblhertz.it/,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,
Fondazione fava,https://www.fondazionefava.it/archivio-di-giuseppe-fava/,TRUE,FALSE,FALSE,FALSE,TRUE,,,FALSE,,FALSE,AIUCD,,
Flos,http://iu.di.unipi.it/flos/,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,
Florentine Drawings,https://florentinedrawings.itatti.harvard.edu/,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,error 404 not found
Europeana Eagle Project,https://www.eagle-network.eu/,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,problemi col protocollo google maps
"Establishing a Digital Library in Wide-Ranging University’s Context
The Sapienza Digital Library Experience",https://sapienzadigitallibrary.uniroma1.it/index.php/,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,IRCDL,,
Erbario di Aldovrandi,https://botanica.sma.unibo.it/aldrovandi/Explore,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,https://botanica.sma.unibo.it/,TRUE,AIUCD,,
Epistolario De Gasperi,https://epistolariodegasperi.it/#/,TRUE,FALSE,FALSE,FALSE,TRUE,,,FALSE,,FALSE,Italian DH Institutions,,traslocato https://alcidedigitale.fbk.eu/platform/
Epistolario De Gasperi,https://www.epistolariodegasperi.it/#/archivio_digitale/lettere,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,www.epistolariodegasperi.it,TRUE,AIUCD,,
Epigraphic Database Roma (EDR),http://www.edr-edr.it/default/index.php,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/edr-project,
Epicum: Epigraphs of Castello Ursino Museum,http://epicum.istc.cnr.it/collezione/,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,
ELA - Eurasian Latin Archive,http://ela.unisi.it/,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/ela-project,
"Eine römische Trilogie: Schudt, Caldana, Schlosser",https://dlib.biblhertz.it/guide/,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,
EDV -  Epigraphic Database Vernacular,http://www.edvcorpus.com/wp/,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/edv-project,
edizione nazionale delle opere di aldo moro,https://aldomorodigitale.unibo.it/,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,
EDB: Knowledge Technologies for Ancient Greek and Latin Epigraphy,https://www.edb.uniba.it/,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,IRCDL,,problemi con javascript
Ebla Digital Archives,http://ebda.cnr.it/,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,
Ebla Digital Archives,http://ebda.cnr.it/index,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/ebla-project,
Eagle Project,https://www.eagle-network.eu/basic-search/,TRUE,FALSE,FALSE,FALSE,FALSE,,https://www.eagle-network.eu/basic-search/,FALSE,,FALSE,AIUCD,,
e-rihs,https://www.e-rihs.eu/ ,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,è un tool e nei deliverabels raccoglie alcuni risultati vari
DOGE Percorsi Digitali,https://doge.unige.net/,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/doge-project,il corpus è accessibile solo con credenziali
digitizing the die kirchen von siena project,https://sienaproject.khi.fi.it/,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,"li project url è più un sito vetrina, per visualizzare il modello 3d bisogna scaricare un software e un dataset in locale"
digital photothek,http://photothek.khi.fi.it/?Language=en,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,
Digital Library Pavia,https://www.bibliotecadigitale.unipv.eu/,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/digi-lib-pavia-project,
digital library (ficlit),https://dl.ficlit.unibo.it,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,error 404
digilibLT: Biblioteca digitale di testi latini tardoantichi,http://www.digiliblt.unipmn.it/,TRUE,FALSE,FALSE,FALSE,TRUE,,,FALSE,,FALSE,DH Awards,,
DigilibLT - Biblioteca digitale di testi latini tardoantichi,https://digiliblt.uniupo.it/index.php,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/digiliblt-project,
DIGESTO,http://dbtvm1.ilc.cnr.it/digesto/Digesto_Home.html,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/digesto-project,ogni tanto qualche link dà pagina non trovata
dhdkey!,https://projects.dharc.unibo.it/dhdkey/,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,
DB allegorico dantesco,https://www.databaseallegoricodantesco.it/archivio.php,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,AIUCD,,
DASI: digital archive for the study of pre-islamic arabian inscriptions,https://dasi.cnr.it/,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,
Daphnet: Modern Philosophy,http://modernsource.daphnet.iliesi.cnr.it/,TRUE,FALSE,FALSE,FALSE,TRUE,,http://www.daphnet.iliesi.cnr.it/,TRUE,,FALSE,AIUCD,,
Daphnet: Ancient Philosophy,http://ancientsource.daphnet.iliesi.cnr.it/,TRUE,FALSE,FALSE,FALSE,TRUE,,http://www.daphnet.iliesi.cnr.it/,TRUE,,FALSE,AIUCD,,
DanteSources,https://dantesources.dantenetwork.it/index.html,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,
Dante: A Web Application for the History of Art,https://dante.beniculturali.unipd.it/dante-web/,TRUE,FALSE,FALSE,FALSE,TRUE,,,FALSE,,FALSE,AIUCD,,non si riesce a scaricare i dataset
Dante Search,https://dantesearch.dantenetwork.it/,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/dante-search-project,
"dante depicted: a commentary on image, text, and exegesis around the commedia",https://dante.khi.fi.it/,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,
Dal Libro alla Biblioteca (DaLiB),https://dalib.it/,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/dalib-project,
Czech-IT! Linguistic corpus of native Czech and Slovak learners acquiring Italian language,https://czech-it.github.io/,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,AIUCD,,explore page not working
"Culturaitalia, the Italian National Content Aggregator in Europeana",http://dati.culturaitalia.it/,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,IRCDL,,
CRIA,https://cria.itatti.harvard.edu/,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,
Corpus Rhythmorum Musicum ,https://www.corimu.unisi.it/public/frontend/index,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/corimu-project,
Corpus KIParla - L'italiano parlato e chi parla italiano,https://kiparla.it/,TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,KNOT,http://purl.org/knot/data/kiparla-project,
Corago,http://corago.unibo.it/,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/corago-project,
CoPhiLab: Collaborative and Cooperative Philology Lab,http://www.languagelibrary.eu/new_ewnui/,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,
Controcultura,https://echaurren.biblhertz.it/PE.html,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,
Confluenze,https://confluenze.dev/,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,mi sembra un sitovetrina e basta
Colonizzazioni interne e Migrazioni,https://storia.dh.unica.it/colonizzazioninterne/,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/col-interne-project,"fa un redicrect, e poi impossibile raggiungere il sito"
Codex Atlanticus: exploring the largest exhisting collection of writings and drawings of Leonardo Da Vinci,https://codex-atlanticus.ambrosiana.it/#/,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,
CO.COR (COMPLIMENT CORPUS),http://www.cocor.eu/index.php,TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,KNOT,http://purl.org/knot/data/cocor-project,
Clori - archivio della cantata italiana,https://cantataitaliana.it/,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/clori-project,
Classici Dse (EVT viewer),https://www.classici-dse.com/,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,
CLaSSES - Corpus for Latin Sociolinguistic Studies on Epigraphic textS,https://classes-latin-linguistics.fileli.unipi.it/en,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/classes-project,
Cipro,https://cipro.biblhertz.it/,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,
Catalogus Philologorum Classicorum (CPhCl),http://www.aristarchus.unige.net/CPhCl/en/Home,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/cphci-project,error 404 not found
catalogue,https://projects.dharc.unibo.it/knot/,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,
"CASPAR: Cultural, Artistic and Scientific Knowledge for Preservation, Access and Retrieval","https://www.casparpreserves.eu/caspar-project.html#:~:text=CASPAR%20%2D%20Cultural%2C%20Artistic%20and%20Scientific,cultural%20and%20scientific%20resources%22).",TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,IRCDL,,alcune visualizzazioni non sono accessibili tipo % 100 toponimi più frequenti
Carteggio Ricci digital library,http://carteggiodiguerra.cnr.it/,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/carteggio-ricci-project,
Carte d'autore online,https://www.cartedautore.it/,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/carte-autore-project,
Carlo Goldoni,https://www.carlogoldoni.it/public/,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/goldoni-drammi-project,è un sito vetrina
Bradypus,https://bdus.cloud/,TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,KNOT,http://purl.org/knot/data/bradypus-project,impossibile raggiungere il sito
Biflow: catalogo bilingue,https://catalogobiflow.vedph.it/,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,
Biblioteca Italiana,http://www.bibliotecaitaliana.it/,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/bib-ita-project,
Biblioteca Informatica dei Libri di Famiglia,https://bilf.ipertesti.it/,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,
Bellini corrispondenza,http://bellinicorrespondence.cnr.it/,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,AIUCD,,
Belle Greene,https://bellegreene.itatti.harvard.edu/,TRUE,FALSE,FALSE,FALSE,TRUE,,,FALSE,,FALSE,Italian DH Institutions,, è un tool ma espone anche due demo edizioni digitali. rientra
Atlante Storia MArittima della SArdegna,https://storia.dh.unica.it/asmsa/it,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/asmsa-project,
Atlante Lessicale Toscano,http://serverdbt.ilc.cnr.it/ALTWEB,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/alt-project,
ASIt: Atlante Sintattico d’Italia,http://svrims2.dei.unipd.it:8080/asit-maldura/pages/search.jsp,TRUE,FALSE,FALSE,FALSE,TRUE,,http://asit.maldura.unipd.it/,TRUE,,FALSE,AIUCD,,
Artesia,http://artesia.ovi.cnr.it/,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,
artchives - the inventory of art historians’ archives,http://artchives.fondazionezeri.unibo.it/,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,
arco,http://wit.istc.cnr.it/arco/index.php?lang=en,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,
Archivio Università Castrense,https://archivio.universitacastrense.eu/,TRUE,FALSE,FALSE,FALSE,TRUE,,,FALSE,,FALSE,AIUCD,,
Archivio Musicale dell'Orchestra Sinfonica Nazionale della Rai,http://www.osn.teche.rai.it/Default.aspx,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/rai-orchestra-project,
Archivio fonti orali,https://pric.unive.it/progetti/archivio-fonti-orali/home,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,
Archivio Elettronico delle Opere di Carlo Emilio Gadda,http://dbtvm1.ilc.cnr.it/Gadda/,TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,KNOT,http://purl.org/knot/data/gadda-archive-project,lo abbiamo già ma è interessante vedere i link diversi
Archivio digitale del Risorgimento in Sardegna,https://storia.dh.unica.it/archiviodigitalerisorgimento/,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/archivio-risorgimento-sardegna-project,
Archilet - archivio delle corrispondenze letterarie di età moderna,http://www.archilet.it/,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/archilet-project,
ArchiDATA - Archivio di (retro)datazioni lessicali,https://www.archidata.info/,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/archidata-project,
AMS Historica Unibo,https://historica.unibo.it/,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/ams-historica-project,
Alpion,https://alpion.unict.it,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,
Alpilink,https://alpilink.it/ascoltaeesplora/,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,
ALIM Archivio della Latinità Italiana del Medioevo,http://alim.unisi.it/,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/alim-project,
ALI Autografi dei Letterati Italiani,http://www.autografi.net/it/,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/ali-project,
Alessandro Manzoni,https://www.alessandromanzoni.org,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,
Alcide Digitale,https://alcidedigitale.fbk.eu/platform/,TRUE,FALSE,FALSE,FALSE,TRUE,,,FALSE,,FALSE,Italian DH Institutions,,
Alchimia di Jackson Pollock / Jackson Pollock: Alchemy in 3D,,TRUE,FALSE,FALSE,FALSE,FALSE,,http://vcg.isti.cnr.it/alchemy/,TRUE,,FALSE,DH Awards,,
AGLIO Atlante Grammaticale della Lingua Italiana delle Origini,http://aglio.ovi.cnr.it/index.php,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/aglio-project,
Abruzzen und Molise,https://db.biblhertz.it/abruzzo/index.xml,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,
A Software Architecture for Narratives,https://dlnarratives.eu/narratives.html,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,IRCDL,,
A Multi-layer Digital Library for Mediaeval Legal Manuscripts (Mosaico project),http://mosaico.cirsfid.unibo.it/,TRUE,FALSE,FALSE,FALSE,TRUE,,,FALSE,,FALSE,IRCDL,,
A Contribution for the Dissemination of Cultural Heritage Content to a Wider Public,http://ipsa.ipsa-project.org/,TRUE,FALSE,FALSE,FALSE,TRUE,,http://ipsa.ipsa-project.org/,TRUE,,FALSE,IRCDL,,
3DHOP: 3D Heritage Online Presenter,http://vcg.isti.cnr.it/3dhop/,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,DH Awards,,
3d icons,http://3dicons.ceti.gr/ ,TRUE,FALSE,FALSE,FALSE,TRUE,,,FALSE,,FALSE,Italian DH Institutions,,
14-18 Documenti e immagini della Grande Guerra,http://www.14-18.it/progetto,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,AIUCD,,
 I LUOGHI DELLA CULTURA IN TOSCANA FINO AL 1325 ,https://atlas.mirabileweb.it/atlas,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,AIUCD,,
 Archivio della Latinità Italiana del Medioevo,http://en.alim.unisi.it/dl/fonti_documentarie,TRUE,FALSE,FALSE,FALSE,TRUE,,,FALSE,,FALSE,AIUCD,,
	D4Science: Infrastructure to Support the Definition and Operation of Virtual Research Environments,https://www.d4science.org/,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,IRCDL,,accessibile con credenziali